S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,42,119.00,116.00,118.00,2346.00,274976.00,118.00,0.00
2,Apex Development Bank Ltd.,2,153.00,150.00,153.00,28.00,4242.00,148.00,5.00
3,Arun Valley Hydropower Development Co. Ltd.,38,440.00,415.00,440.00,1014.00,437874.00,411.00,29.00
4,Asian Life Insurance Co. Limited,30,225.00,220.00,225.00,1260.00,282010.00,220.00,5.00
5,Bank of Asia Nepal Limited,13,252.00,248.00,251.00,1235.00,307700.00,248.00,3.00
6,Bank of Kathmandu Ltd.,26,565.00,550.00,550.00,2946.00,1633540.00,570.00,-20.00
7,Birgunj Finance Ltd.,1,161.00,161.00,161.00,1476.00,237636.00,158.00,3.00
8,Chilime Hydropower Company Limited,1,920.00,920.00,920.00,100.00,92000.00,920.00,0.00
9,Citizen Bank International Limited,5,291.00,290.00,291.00,340.00,98640.00,292.00,-1.00
10,Civil Merchant Bittiya Santha Ltd.,1,202.00,202.00,202.00,300.00,60600.00,202.00,0.00
11,Deva Bikas Bank Limited,2,159.00,156.00,156.00,280.00,43920.00,156.00,0.00
12,Everest Bank Limited Con. Pref.,52,821.00,747.00,821.00,990.00,755360.00,777.00,44.00
13,Excel Development Bank Ltd.,1,300.00,300.00,300.00,15.00,4500.00,300.00,0.00
14,Global IME Bank Limited,28,224.00,218.00,223.00,1170.00,257570.00,216.00,7.00
15,Goodwill Finance Co. Ltd.,1,185.00,185.00,185.00,70.00,12950.00,188.00,-3.00
16,Gurkha Development Bank Limited,21,254.00,249.00,249.00,1314.00,333506.00,254.00,-5.00
17,Himalayan Bank Limited,7,688.00,680.00,680.00,475.00,323695.00,681.00,-1.00
18,ICFC Finance Limited,3,235.00,233.00,235.00,220.00,51510.00,235.00,0.00
19,Infrastructure Development Bank Ltd.,22,138.00,135.00,137.00,2039.00,277965.00,137.00,0.00
20,Kaski Finance Limited,5,222.00,220.00,220.00,120.00,26550.00,224.00,-4.00
21,Kasthamandap Development Bank Limited,50,174.00,167.00,170.00,1360.00,232990.00,175.00,-5.00
