S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,23,146.00,142.00,142.00,1568.00,225960.00,145.00,-3.00
2,Alpic Everest Finance Limited Promotor Share,1,130.00,130.00,130.00,24037.00,3124810.00,130.00,0.00
3,Alpine Development Bank Limited,69,171.00,166.00,166.00,740.00,126090.00,171.00,-5.00
4,Arun Valley Hydropower Development Co. Ltd.,21,462.00,454.00,459.00,712.00,324732.00,454.00,5.00
5,Asian Life Insurance Co. Limited,11,256.00,254.00,256.00,390.00,99550.00,259.00,-3.00
6,Axis Development Bank Limited,13,118.00,116.00,116.00,2485.00,290640.00,117.00,-1.00
7,Bagheshwori Development Bank Limited,4,425.00,409.00,416.00,1150.00,482700.00,433.00,-17.00
8,Bank of Asia Nepal Limited,7,265.00,255.00,261.00,755.00,195545.00,270.00,-9.00
9,Bank of Kathmandu Ltd.,2,598.00,595.00,595.00,131.00,78290.00,598.00,-3.00
10,Best Finance Company Ltd.,3,176.00,170.00,170.00,5071.00,864974.00,179.00,-9.00
11,Bhajuratna Finance & Saving Co. Ltd.,2,188.00,188.00,188.00,176.00,33088.00,185.00,3.00
12,Biratlaxmi Bikas Bank Limited,1,255.00,255.00,255.00,100.00,25500.00,255.00,0.00
13,Business Universal Development Bank Ltd.,3,158.00,155.00,155.00,1060.00,164360.00,156.00,-1.00
14,Butwal Power Company Limited,4,710.00,696.00,696.00,350.00,246600.00,704.00,-8.00
15,Chilime Hydropower Company Limited,6,1025.00,1023.00,1023.00,990.00,1013460.00,1043.00,-20.00
16,Citizen Bank International Limited,16,249.00,240.00,242.00,1920.00,465070.00,248.00,-6.00
17,Citizen Investment Trust,1,564.00,564.00,564.00,20.00,11280.00,564.00,0.00
18,Clean Energy Development Bank Limited,2,259.00,254.00,259.00,160.00,40940.00,259.00,0.00
19,Crystal Finance Ltd.,13,231.00,220.00,220.00,1490.00,333580.00,231.00,-11.00
20,Deprosc Laghubitta Bittiya Sanstha Limited,5,187.00,175.00,187.00,125.00,22625.00,172.00,15.00
21,Deva Bikas Bank Limited,7,149.00,145.00,147.00,350.00,51460.00,150.00,-3.00
22,Everest Bank Limited,9,1070.00,1033.00,1070.00,448.00,464170.00,1075.00,-5.00
23,Gandaki Bikas Bank Limited,2,304.00,298.00,298.00,30.00,9060.00,319.00,-21.00
24,Garima Bikas Bank Limited,187,169.00,165.00,168.00,4650.00,779970.00,169.00,-1.00
25,Gaurishankar Development Bank Ltd.,183,143.00,140.00,143.00,1920.00,272350.00,142.00,1.00
26,Global IME Bank Limited,4,234.00,230.00,230.00,260.00,60115.00,231.00,-1.00
27,Grand Bank Nepal Limited,5,201.00,200.00,200.00,1070.00,214524.00,202.00,-2.00
28,Himalayan Bank Limited,1,650.00,650.00,650.00,300.00,195000.00,655.00,-5.00
29,ICFC Finance Limited,5,223.00,220.00,220.00,216.00,48048.00,219.00,1.00
30,Jyoti Bikas Bank Limited,140,138.00,133.00,136.00,7090.00,964580.00,135.00,1.00
31,Kankai Bikas Bank Ltd.,8,356.00,356.00,356.00,160.00,56960.00,0.00,356.00
32,Kasthamandap Development Bank Limited,3,164.00,164.00,164.00,180.00,29520.00,162.00,2.00
33,Kumari Bank Limited,3,299.00,296.00,299.00,274.00,81522.00,300.00,-1.00
34,Kumari Bank Limited Promotor Share,1,221.00,221.00,221.00,10.00,2210.00,232.00,-11.00
35,Laxmi Bank Limited,3,452.00,444.00,452.00,150.00,67160.00,436.00,16.00
36,Lumbini Bank Limited,9,236.00,231.00,232.00,2747.00,644253.00,235.00,-3.00
37,Lumbini Bikas Bank Ltd.,21,214.00,195.00,213.00,700.00,141660.00,195.00,18.00
38,Lumbini General Insurance Co. Ltd.,15,131.00,130.00,130.00,250.00,32550.00,129.00,1.00
39,Machhapuchhre Bank Limited,3,208.00,208.00,208.00,440.00,91520.00,208.00,0.00
40,Mahalaxmi Bikas Bank Ltd.,44,122.00,116.00,118.00,1740.00,205900.00,118.00,0.00
41,Miteri Development Bank Limited,6,140.00,140.00,140.00,100.00,14000.00,142.00,-2.00
42,Nabil Bank Limited,5,1340.00,1325.00,1325.00,401.00,533689.00,1331.00,-6.00
43,Nepal Doorsanchar Comapany Limited,1,450.00,450.00,450.00,470.00,211500.00,446.00,4.00
44,Nepal Investment Bank Limited,2,617.00,617.00,617.00,164.00,101188.00,622.00,-5.00
45,Nepal Life Insurance Co. Ltd.,3,785.00,770.00,770.00,195.00,152625.00,770.00,0.00
46,Nepal SBI Bank Limited,4,615.00,610.00,615.00,296.00,181518.00,611.00,4.00
47,Nerude Laghubita Bikas Bank Limited,6,415.00,410.00,410.00,150.00,61750.00,410.00,0.00
48,NIC Asia Bank Ltd.,5,530.00,522.00,525.00,298.00,156610.00,530.00,-5.00
49,Nilgiri Bikas Bank Limited,6,181.00,179.00,179.00,120.00,21520.00,179.00,0.00
50,NMB Bank Limited,6,266.00,261.00,265.00,731.00,192205.00,265.00,0.00
51,Om Development Bank Ltd.,11,218.00,212.00,218.00,450.00,97040.00,212.00,6.00
52,Om Finance Ltd.,1,198.00,198.00,198.00,50.00,9900.00,195.00,3.00
53,Paschimanchal Bikash Bank Limited,1,292.00,292.00,292.00,10.00,2920.00,297.00,-5.00
54,Pathibhara Bikas Bank Limited,3,141.00,140.00,141.00,50.00,7040.00,141.00,0.00
55,Premier Insurance Co. Ltd.,3,163.00,160.00,163.00,123.00,19845.00,160.00,3.00
56,Prime Commercial Bank Ltd.,3,280.00,280.00,280.00,172.00,48160.00,280.00,0.00
57,Prime Life Insurance Company Limited,9,209.00,204.00,209.00,270.00,55450.00,204.00,5.00
58,Public Development Bank Limited,7,114.00,112.00,113.00,1110.00,125400.00,112.00,1.00
