"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10 % NMB DEBENTURE 2085,,3,,913.90,,903.00,,903.00,,160.00,,144589.00,,896.00,,7.00,
,2,,10.25% Sunrise Bank Debenture 2083,,1,,930.00,,930.00,,930.00,,200.00,,186000.00,,932.00,,-2.00,
,3,,8.5% Nepal Investment Bank Debenture 2084,,5,,840.00,,839.00,,840.00,,2040.00,,1713575.00,,824.00,,16.00,
,4,,8.75 % Prime Debenture 2085,,1,,807.00,,807.00,,807.00,,25.00,,20175.00,,798.00,,9.00,
,5,,9.5% Manjushree Finance Limited Debenture 2085,,2,,833.10,,833.00,,833.00,,35.00,,29157.50,,833.00,,0.00,
,6,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,29,,791.90,,778.00,,785.10,,650.00,,508900.90,,789.90,,-4.80,
,7,,Agricultural Development Bank Limited,,153,,324.90,,320.00,,320.70,,13331.00,,4287524.50,,322.10,,-1.40,
,8,,Ankhu Khola Jalvidhyut Company Ltd,,148,,209.50,,202.90,,204.00,,23482.00,,4794627.60,,207.00,,-3.00,
,9,,Api Power Company Ltd.,,615,,256.00,,245.10,,246.00,,96352.00,,23889771.60,,252.00,,-6.00,
,10,,Arun Kabeli Power Ltd.,,410,,455.00,,441.00,,441.90,,60243.00,,26823620.80,,450.30,,-8.40,
,11,,Arun Valley Hydropower Development Co. Ltd.,,233,,343.50,,330.00,,333.00,,37602.00,,12594335.90,,341.60,,-8.60,
,12,,Asha Laghubitta Bittiya Sanstha Ltd,,13,,1224.00,,1176.00,,1177.00,,233.00,,276540.50,,1200.00,,-23.00,
,13,,Asian Life Insurance Co. Limited,,108,,573.40,,554.00,,555.00,,9315.00,,5189271.50,,564.80,,-9.80,
,14,,Balephi Hydropower Limited,,211,,325.00,,307.10,,307.50,,10650.00,,3337552.00,,317.00,,-9.50,
,15,,Barun Hydropower Co. Ltd.,,58,,260.00,,250.00,,251.10,,5741.00,,1454416.60,,259.00,,-7.90,
,16,,Best Finance Company Ltd.,,97,,379.00,,368.00,,369.90,,9175.00,,3418087.10,,375.00,,-5.10,
,17,,Bindhyabasini Hydropower Development Company Limited,,208,,450.00,,412.00,,414.00,,8330.00,,3510895.30,,434.00,,-20.00,
,18,,Bishal Bazar Company Limited,,18,,3430.00,,3408.00,,3430.00,,284.00,,969246.80,,3477.00,,-47.00,
,19,,Bottlers Nepal (Terai) Limited,,6,,13500.00,,13200.00,,13200.00,,120.00,,1587300.00,,13400.00,,-200.00,
,20,,Buddha Bhumi Nepal Hydropower Company Limited,,43,,400.80,,386.00,,393.70,,3545.00,,1376824.80,,392.20,,1.50,
,21,,Butwal Power Company Limited,,79,,317.00,,310.00,,314.00,,5835.00,,1817253.00,,314.00,,0.00,
,22,,CEDB Hydropower Development Company Limited,,83,,710.00,,680.00,,681.00,,6887.00,,4736943.90,,695.00,,-14.00,
,23,,Central Finance Co. Ltd.,,99,,333.60,,325.00,,325.00,,10235.00,,3361705.40,,334.00,,-9.00,
,24,,Chandragiri Hills Limited,,63,,1020.00,,996.00,,1005.00,,1583.00,,1588376.60,,1015.00,,-10.00,
,25,,Chhimek Laghubitta Bittiya Sanstha Limited,,126,,1045.00,,1025.00,,1030.90,,5750.00,,5915698.90,,1037.00,,-6.10,
,26,,Chhyangdi Hydropower Ltd.,,27,,245.00,,236.00,,236.10,,3037.00,,722112.60,,243.00,,-6.90,
,27,,Chilime Hydropower Company Limited,,99,,393.00,,382.00,,383.00,,9223.00,,3540295.80,,385.90,,-2.90,
,28,,Citizen Investment Trust,,211,,2021.00,,1996.10,,1999.50,,5342.00,,10699200.80,,2012.00,,-12.50,
,29,,Citizens Bank International Limited,,181,,199.80,,196.10,,196.40,,25607.00,,5048695.70,,198.10,,-1.70,
,30,,Citizens Mutual Fund -1,,6,,8.10,,8.10,,8.10,,5000.00,,40500.00,,8.24,,-0.14,
,31,,Civil Bank Debenture 2088,,4,,873.10,,871.40,,871.40,,75.00,,65440.50,,871.20,,0.20,
,32,,Civil Laghubitta Bittiya Sanstha Ltd.,,40,,906.50,,853.50,,906.50,,2859.00,,2464710.80,,906.50,,0.00,
,33,,Corporate Development Bank Limited,,34,,300.90,,290.00,,292.50,,2111.00,,618207.30,,295.00,,-2.50,
,34,,Deprosc Laghubitta Bittiya Sanstha Limited,,64,,985.00,,970.00,,980.00,,2513.00,,2454636.00,,979.00,,1.00,
,35,,Dibyashwori Hydropower Ltd.,,33,,209.80,,199.20,,200.00,,4935.00,,994949.90,,206.00,,-6.00,
,36,,Dordi Khola Jal Bidyut Company Limited,,252,,338.40,,310.90,,323.00,,10052.00,,3171286.70,,319.00,,4.00,
,37,,Emerging Nepal Limited,,97,,687.40,,640.00,,674.00,,5143.00,,3398824.00,,674.00,,0.00,
,38,,Everest Bank Limited,,116,,504.90,,491.00,,492.00,,16133.00,,8012531.60,,499.00,,-7.00,
,39,,Excel Development Bank Ltd.,,87,,332.00,,322.00,,323.10,,11559.00,,3756232.80,,328.00,,-4.90,
,40,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,58,,709.00,,682.00,,683.50,,6613.00,,4543576.00,,699.00,,-15.50,
,41,,Forward Microfinance Laghubitta Bittiya Sanstha Limited,,128,,2662.90,,2620.00,,2621.00,,3587.00,,9437256.00,,2652.90,,-31.90,
,42,,Ganapati Laghubitta Bittiya Sanstha Limited,,2,,948.00,,916.30,,948.00,,20.00,,18643.00,,934.90,,13.10,
,43,,Garima Bikas Bank Limited,,272,,389.70,,375.00,,376.00,,34953.00,,13281764.90,,387.00,,-11.00,
,44,,Ghalemdi Hydro Limited,,105,,213.00,,200.90,,201.00,,16055.00,,3251298.10,,210.00,,-9.00,
,45,,Global IME Bank Limited Debenture 2086/87,,2,,770.10,,770.10,,770.10,,50.00,,38505.00,,770.00,,0.10,
,46,,Global IME Laghubitta Bittiya Sanstha Ltd.,,66,,1269.00,,1235.00,,1245.00,,2004.00,,2492858.50,,1269.00,,-24.00,
,47,,Global IME Samunnat Scheme-1,,9,,9.83,,9.59,,9.59,,5600.00,,53839.00,,9.78,,-0.19,
,48,,Goodwill Finance Limited,,67,,514.60,,495.00,,495.00,,7625.00,,3803812.50,,504.70,,-9.70,
,49,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,31,,690.00,,675.00,,680.00,,1733.00,,1176425.20,,683.10,,-3.10,
,50,,Green Development Bank Ltd.,,34,,263.00,,253.00,,253.00,,4528.00,,1154228.40,,261.90,,-8.90,
,51,,Green Ventures Limited,,225,,358.00,,345.00,,349.90,,11862.00,,4156651.10,,359.00,,-9.10,
,52,,GreenLife Hydropower Limited,,50,,287.00,,279.30,,279.30,,3720.00,,1044011.50,,285.00,,-5.70,
,53,,Guheshowori Merchant Bank & Finance Co. Ltd.,,43,,348.00,,336.00,,340.10,,9020.00,,3069594.30,,348.00,,-7.90,
,54,,Gurans Laghubitta Bittiya Sanstha Limited,,9,,1000.00,,961.00,,963.00,,270.00,,261665.00,,1000.00,,-37.00,
